,Mkt,SMB,HML
198012,-4.52,-0.32,2.71
198101,-5.04,3.36,6.82
198102,0.56,-0.47,1.03
198103,3.56,3.06,0.7
198104,-2.1,4.61,2.31
198105,0.11,2.46,-0.41
198106,-2.36,-0.98,5.09
198107,-1.54,-1.98,-0.6
198108,-7.03,-1.82,4.83
198109,-7.17,-2.51,5.18
198110,4.92,2.25,-4.2
198111,3.36,-1.36,1.91
198112,-3.65,1.19,0.75
198201,-3.24,-1.2,3.13
198202,-5.86,0.33,6.04
198203,-1.87,0,3.81
198204,3.27,1.18,-2.79
198205,-3.99,0.55,1.82
198206,-3.09,-0.52,1.55
198207,-3.19,0.95,0.18
198208,11.14,-4.29,1.16
198209,1.29,2.59,0.33
198210,11.3,1.92,-3.69
198211,4.67,4.52,-1.93
198212,0.55,0.01,0.02
198301,3.6,3.27,-0.87
198302,2.59,2.91,0.68
198303,2.82,1.41,2.05
198304,6.67,0.46,0.57
198305,0.52,6.22,-1.37
198306,3.07,1.15,-3.87
198307,-4.07,0.97,5.59
198308,-0.5,-4.33,5.51
198309,0.92,0.24,1.07
198310,-3.44,-3.82,5.02
198311,2.16,1.89,-0.64
198312,-1.78,-0.46,1.7
198401,-1.92,-0.07,7.61
198402,-4.82,-1.61,3.31
198403,0.63,-0.29,0.49
198404,-0.52,-1.02,1.24
198405,-5.97,0.11,0.23
198406,1.82,0.09,-2.59
198407,-2.74,-2.25,0.4
198408,10.28,-0.28,-1.79
198409,-0.8,0.01,5.29
198410,-0.84,-1.44,0.48
198411,-1.76,-0.99,4.04
198412,1.84,-0.67,-0.14
198501,7.99,3.51,-5.38
198502,1.22,0.99,-0.15
198503,-0.84,-1.49,4.07
198504,-0.96,-0.1,3.72
198505,5.09,-2.35,-0.87
198506,1.27,0.36,0.5
198507,-0.74,2.91,-1.65
198508,-1.02,-0.31,2.32
198509,-4.54,-1.83,1.28
198510,4.02,-1.55,0.79
198511,6.48,0.01,-2.88
198512,3.88,-0.39,-1.51
198601,0.65,1,0.51
198602,7.13,-0.75,-0.89
198603,4.88,-0.55,-0.47
198604,-1.31,2.93,-2.84
198605,4.62,-1.26,-0.12
198606,1.03,-0.89,1.37
198607,-6.45,-3.55,4.78
198608,6.07,-4.35,3.51
198609,-8.6,1.96,3.18
198610,4.66,-2.37,-1.44
198611,1.17,-1.92,-0.13
198612,-3.27,0.07,0.3
198701,12.47,-1.5,-3.17
198702,4.39,3.41,-5.98
198703,1.64,0.2,1.64
198704,-2.11,-1.55,-0.32
198705,0.11,-0.58,0.12
198706,3.94,-2.29,1.06
198707,3.85,-1.08,0.71
198708,3.52,-0.9,-0.93
198709,-2.59,0.4,0.28
198710,-23.24,-8.14,4.23
198711,-7.77,2.84,3.08
198712,6.81,0.09,-4.45
198801,4.21,-0.56,5.17
198802,4.75,3.34,-1.65
198803,-2.27,6.24,0.75
198804,0.56,1.12,1.68
198805,-0.29,-2.6,2.28
198806,4.79,2.17,-1.11
198807,-1.25,-0.16,2.27
198808,-3.31,0.01,2.08
198809,3.3,-1.31,-0.69
198810,1.15,-2.95,1.68
198811,-2.29,-1.66,1.27
198812,1.49,1.99,-1.55
198901,6.1,-2.22,0.53
198902,-2.25,2.66,0.88
198903,1.57,0.75,0.48
198904,4.33,-0.69,-1.47
198905,3.35,0,-0.83
198906,-1.35,-1.07,2.16
198907,7.2,-4.05,-2.85
198908,1.44,0.44,0.75
198909,-0.76,0.45,-1.31
198910,-3.67,-3.31,-1.07
198911,1.03,-1.33,-1.06
198912,1.16,-2.31,0.24
199001,-7.85,-1.37,0.83
199002,1.11,1.17,0.65
199003,1.83,1.62,-2.9
199004,-3.36,-0.41,-2.53
199005,8.42,-2.37,-3.77
199006,-1.09,1.37,-1.98
199007,-1.9,-3.29,-0.01
199008,-10.14,-3.88,1.63
199009,-6.12,-3.77,0.74
199010,-1.92,-5.11,0.29
199011,6.35,-0.06,-3.11
199012,2.46,0.65,-1.56
199101,4.69,3.88,-1.84
199102,7.19,3.93,-0.54
199103,2.65,3.84,-1.24
199104,-0.28,0.35,1.4
199105,3.64,0.17,-0.56
199106,-4.94,0.15,1.21
199107,4.24,-0.95,-1.27
199108,2.32,1.48,-0.8
199109,-1.59,1.55,-0.98
199110,1.28,0.9,-0.44
199111,-4.19,-0.88,-1.91
199112,10.83,-2.39,-4.04
199201,-0.59,9.25,4.5
199202,1.09,1.37,6.36
199203,-2.65,-0.9,3.66
199204,1.08,-5.73,4.28
199205,0.3,0.21,1.27
199206,-2.34,-2.71,3.41
199207,3.77,-0.63,-0.53
199208,-2.38,-0.41,-1.04
199209,1.19,0.51,-0.21
199210,1.02,2.05,-2.1
199211,4.13,3.91,-1.48
199212,1.53,1.63,2.51
199301,0.93,2.09,5.89
199302,0.13,-3.48,6.42
199303,2.3,0.05,1.24
199304,-3.05,-0.85,2.61
199305,2.88,1.87,-3.42
199306,0.31,0.11,2.61
199307,-0.34,0.9,3.24
199308,3.72,0.25,-0.44
199309,-0.12,3.07,-0.45
199310,1.41,1.6,-1.55
199311,-1.89,-1.42,-0.26
199312,1.65,1.37,0.57
199401,2.87,-0.17,2.09
199402,-2.56,2.63,-1.43
199403,-4.78,-1.02,1.31
199404,0.68,-1.06,1.66
199405,0.58,-2.45,0.18
199406,-3.03,-0.53,1.68
199407,2.82,-1.84,0.99
199408,4.01,1.35,-3.45
199409,-2.31,2.59,-1.78
199410,1.34,-2.27,-2.36
199411,-4.04,-0.06,-0.04
199412,0.86,-0.02,0.28
199501,1.8,-2.89,1.66
199502,3.63,-0.44,0.39
199503,2.18,-0.57,-2.04
199504,2.11,-0.27,1.73
199505,2.9,-2.12,1.91
199506,2.72,3.02,-2.97
199507,3.72,2.19,-2.24
199508,0.55,2,1.96
199509,3.35,-1.89,-0.93
199510,-1.52,-4.2,-0.06
199511,3.95,-0.98,0.32
199512,1.03,0.56,1.4
199601,2.26,-2.48,0.39
199602,1.33,1.93,-2.32
199603,0.73,1.5,1.27
199604,2.06,4.69,-4.06
199605,2.36,3.21,-1.39
199606,-1.14,-3.67,1.92
199607,-5.97,-3.64,4.36
199608,2.76,2.53,-0.58
199609,5.02,-1.25,-3.75
199610,0.86,-3.83,4.79
199611,6.25,-3.62,0.15
199612,-1.7,3.11,1.01
199701,4.99,-1.56,-2.36
199702,-0.49,-2.47,4.67
199703,-5.03,-0.51,3.85
199704,4.04,-5.54,-1.03
199705,6.74,4.69,-4.37
199706,4.1,1.32,0.76
199707,7.33,-2.71,-0.13
199708,-4.15,7.65,1.36
199709,5.35,2.63,-0.22
199710,-3.8,-0.57,2.2
199711,2.98,-5.22,0.98
199712,1.32,-2.07,3.82
199801,0.15,-1.32,-2.05
199802,7.03,0.17,-0.91
199803,4.76,-0.72,1.25
199804,0.73,0.2,0.34
199805,-3.07,-3.1,4.13
199806,3.18,-3.64,-2.17
199807,-2.46,-5.27,-1.17
199808,-16.08,-5.5,5.17
199809,6.15,-0.95,-3.8
199810,7.13,-3.34,-2.67
199811,6.1,0.78,-3.52
199812,6.16,-1.55,-4.68
199901,3.5,-0.55,-5.6
199902,-4.08,-4.94,1.62
199903,3.45,-4.13,-2.89
199904,4.33,4.41,2.37
199905,-2.46,3.76,2.67
199906,4.77,2.49,-4.19
199907,-3.47,2.31,0.5
199908,-1.38,-1.81,-0.88
199909,-2.81,2.55,-2.99
199910,6.13,-6.98,-3.13
199911,3.37,6.29,-8.01
199912,7.72,5.79,-9.4
200001,-4.74,3.98,0.06
200002,2.45,19.18,-13.11
200003,5.2,-15.36,7.97
200004,-6.4,-5.76,9.29
200005,-4.42,-3.68,3.87
200006,4.64,10.61,-10.18
200007,-2.51,-1.1,8.55
200008,7.03,-1.06,-1.29
200009,-5.45,-0.01,6.82
200010,-2.76,-2.81,4.7
200011,-10.72,-0.71,12.29
200012,1.19,3.24,6.11
200101,3.13,6.16,-5.66
200102,-10.05,2.39,13.91
200103,-7.26,2.31,6.22
200104,7.94,-0.76,-4.38
200105,0.72,3.68,2.83
200106,-1.94,6.72,-2.28
200107,-2.13,-2.78,5.56
200108,-6.46,2.46,3.28
200109,-9.25,-5.87,1.82
200110,2.46,5.26,-7.15
200111,7.54,0.14,0.69
200112,1.61,5.21,0.47
200201,-1.44,1.26,3.39
200202,-2.29,-0.89,3.89
200203,4.24,4.32,1.12
200204,-5.2,6.47,4.21
200205,-1.38,-3.22,2.55
200206,-7.21,3.43,1.5
200207,-8.18,-6.23,-3.62
200208,0.5,-1.21,2.29
200209,-10.35,3.07,1.31
200210,7.84,-4.07,-6.45
200211,5.96,3.2,-1.59
200212,-5.76,0.26,3.88
200301,-2.57,0.85,-0.82
200302,-1.88,-0.85,-1.45
200303,1.09,0.55,-1.58
